osmid,name,anlik_risk,geometry
892664cd82fffff,"H3:892664cd82fffff (suc=30, lamba_ariza=24)",79.07,"LINESTRING (-87.6623002163256 41.72620993508753, -87.6623002163256 41.72620993508753)"
892664cde9bffff,"H3:892664cde9bffff (suc=21, lamba_ariza=40)",73.68,"LINESTRING (-87.68299391422626 41.76134743083015, -87.68299391422626 41.76134743083015)"
892664c801bffff,"H3:892664c801bffff (suc=31, lamba_ariza=20)",77.44,"LINESTRING (-87.76852311718295 41.89615578193282, -87.76852311718295 41.89615578193282)"
89275934d13ffff,"H3:89275934d13ffff (suc=0, lamba_ariza=1)",0.98,"LINESTRING (-87.84826306907898 41.96083195770896, -87.84826306907898 41.96083195770896)"
892664caeabffff,"H3:892664caeabffff (suc=16, lamba_ariza=14)",53.19,"LINESTRING (-87.69922680458683 41.90100689514464, -87.69922680458683 41.90100689514464)"
892664cde5bffff,"H3:892664cde5bffff (suc=4, lamba_ariza=4)",17.56,"LINESTRING (-87.70105546818756 41.75593437205094, -87.70105546818756 41.75593437205094)"
892664cf36bffff,"H3:892664cf36bffff (suc=37, lamba_ariza=18)",80.39,"LINESTRING (-87.6717728243057 41.80670100425848, -87.6717728243057 41.80670100425848)"
892664529cbffff,"H3:892664529cbffff (suc=2, lamba_ariza=23)",26.59,"LINESTRING (-87.7336422684333 41.73470867075494, -87.7336422684333 41.73470867075494)"
8926645234fffff,"H3:8926645234fffff (suc=1, lamba_ariza=6)",9.2,"LINESTRING (-87.80000311033922 41.773943567806356, -87.80000311033922 41.773943567806356)"
892664ca447ffff,"H3:892664ca447ffff (suc=17, lamba_ariza=11)",51.87,"LINESTRING (-87.71864145900035 41.958300178169075, -87.71864145900035 41.958300178169075)"
892664cc55bffff,"H3:892664cc55bffff (suc=11, lamba_ariza=3)",34.25,"LINESTRING (-87.60401906687298 41.78942456114768, -87.60401906687298 41.78942456114768)"
892664cadcfffff,"H3:892664cadcfffff (suc=50, lamba_ariza=45)",93.64,"LINESTRING (-87.66193043625753 41.895605752491186, -87.66193043625753 41.895605752491186)"
892664cc61bffff,"H3:892664cc61bffff (suc=12, lamba_ariza=10)",41.39,"LINESTRING (-87.64298109726349 41.800044756476986, -87.64298109726349 41.800044756476986)"
892664d9b7bffff,"H3:892664d9b7bffff (suc=14, lamba_ariza=6)",41.94,"LINESTRING (-87.77044013436179 41.96700171348516, -87.77044013436179 41.96700171348516)"
8926645213bffff,"H3:8926645213bffff (suc=9, lamba_ariza=10)",35.8,"LINESTRING (-87.75615427697909 41.775031597268786, -87.75615427697909 41.775031597268786)"
892664d8e63ffff,"H3:892664d8e63ffff (suc=22, lamba_ariza=11)",60.68,"LINESTRING (-87.69964393100452 41.99396851418227, -87.69964393100452 41.99396851418227)"
892664c896bffff,"H3:892664c896bffff (suc=6, lamba_ariza=11)",27.75,"LINESTRING (-87.72217333893373 41.81833227290518, -87.72217333893373 41.81833227290518)"
892664c868bffff,"H3:892664c868bffff (suc=6, lamba_ariza=14)",31.5,"LINESTRING (-87.78404907901376 41.9157177464726, -87.78404907901376 41.9157177464726)"
892664cdacbffff,"H3:892664cdacbffff (suc=15, lamba_ariza=9)",47.25,"LINESTRING (-87.70419861726172 41.73909046142245, -87.70419861726172 41.73909046142245)"
892664c88d3ffff,"H3:892664c88d3ffff (suc=32, lamba_ariza=6)",66.92,"LINESTRING (-87.73574372285489 41.85183373465993, -87.73574372285489 41.85183373465993)"
892664ca4cfffff,"H3:892664ca4cfffff (suc=27, lamba_ariza=12)",67.79,"LINESTRING (-87.71618181361787 41.96413915346298, -87.71618181361787 41.96413915346298)"
892664cd26bffff,"H3:892664cd26bffff (suc=15, lamba_ariza=20)",57.01,"LINESTRING (-87.73931777137831 41.77754161242889, -87.73931777137831 41.77754161242889)"
89275936bcbffff,"H3:89275936bcbffff (suc=0, lamba_ariza=1)",0.26,"LINESTRING (-87.84994435738587 41.98521852357624, -87.84994435738587 41.98521852357624)"
892664cb1cbffff,"H3:892664cb1cbffff (suc=11, lamba_ariza=22)",49.1,"LINESTRING (-87.78691973495857 41.93717499459561, -87.78691973495857 41.93717499459561)"
892664525afffff,"H3:892664525afffff (suc=6, lamba_ariza=8)",24.62,"LINESTRING (-87.73917212465929 41.796679902946124, -87.73917212465929 41.796679902946124)"
892664c8017ffff,"H3:892664c8017ffff (suc=45, lamba_ariza=20)",84.88,"LINESTRING (-87.76130890472292 41.89449765090548, -87.76130890472292 41.89449765090548)"
89266452d13ffff,"H3:89266452d13ffff (suc=1, lamba_ariza=25)",21.45,"LINESTRING (-87.71490443423403 41.75114516301315, -87.71490443423403 41.75114516301315)"
892664c1e37ffff,"H3:892664c1e37ffff (suc=51, lamba_ariza=26)",90.07,"LINESTRING (-87.61742869233609 41.8885250316601, -87.61742869233609 41.8885250316601)"
892664cb4d7ffff,"H3:892664cb4d7ffff (suc=6, lamba_ariza=18)",33.7,"LINESTRING (-87.79089321095708 41.97489579223477, -87.79089321095708 41.97489579223477)"
892664c1e87ffff,"H3:892664c1e87ffff (suc=3, lamba_ariza=3)",11.5,"LINESTRING (-87.61671299179652 41.89956602130859, -87.61671299179652 41.89956602130859)"
8926645600fffff,"H3:8926645600fffff (suc=16, lamba_ariza=24)",61.37,"LINESTRING (-87.63393724827019 41.68131369191512, -87.63393724827019 41.68131369191512)"
892664d9aa3ffff,"H3:892664d9aa3ffff (suc=8, lamba_ariza=22)",41.89,"LINESTRING (-87.77030683800491 41.9861828876787, -87.77030683800491 41.9861828876787)"
892664560cfffff,"H3:892664560cfffff (suc=9, lamba_ariza=4)",29.14,"LINESTRING (-87.63866072724706 41.68879540619071, -87.63866072724706 41.68879540619071)"
892664ca8bbffff,"H3:892664ca8bbffff (suc=10, lamba_ariza=6)",32.57,"LINESTRING (-87.67705734219709 41.88789397898174, -87.67705734219709 41.88789397898174)"
892664c850bffff,"H3:892664c850bffff (suc=1, lamba_ariza=4)",7.35,"LINESTRING (-87.74020901614848 41.89764338419803, -87.74020901614848 41.89764338419803)"
892664ccd2bffff,"H3:892664ccd2bffff (suc=2, lamba_ariza=38)",31.64,"LINESTRING (-87.5560723349298 41.7255408329477, -87.5560723349298 41.7255408329477)"
892664c8b27ffff,"H3:892664c8b27ffff (suc=8, lamba_ariza=5)",28.08,"LINESTRING (-87.73305008719991 41.81124928853954, -87.73305008719991 41.81124928853954)"
892664cf0cfffff,"H3:892664cf0cfffff (suc=7, lamba_ariza=36)",43.85,"LINESTRING (-87.6582471776503 41.83875571530438, -87.6582471776503 41.83875571530438)"
892664cd6c3ffff,"H3:892664cd6c3ffff (suc=18, lamba_ariza=28)",67.19,"LINESTRING (-87.72462444128148 41.8125038574812, -87.72462444128148 41.8125038574812)"
892664cc217ffff,"H3:892664cc217ffff (suc=19, lamba_ariza=4)",50.61,"LINESTRING (-87.64439646075489 41.77799121246528, -87.64439646075489 41.77799121246528)"
892664cf42fffff,"H3:892664cf42fffff (suc=26, lamba_ariza=36)",79.41,"LINESTRING (-87.6401463002974 41.8441696023411, -87.6401463002974 41.8441696023411)"
892664ca087ffff,"H3:892664ca087ffff (suc=7, lamba_ariza=3)",24.25,"LINESTRING (-87.70911664555713 41.94329977019872, -87.70911664555713 41.94329977019872)"
892664cb2afffff,"H3:892664cb2afffff (suc=8, lamba_ariza=23)",42.36,"LINESTRING (-87.8182527829057 41.93796115438619, -87.8182527829057 41.93796115438619)"
892664c1a03ffff,"H3:892664c1a03ffff (suc=59, lamba_ariza=20)",87.86,"LINESTRING (-87.63502864308958 41.87498774251565, -87.63502864308958 41.87498774251565)"
892664caa7bffff,"H3:892664caa7bffff (suc=97, lamba_ariza=26)",94.11,"LINESTRING (-87.72470599736933 41.87807834201846, -87.72470599736933 41.87807834201846)"
892664cde83ffff,"H3:892664cde83ffff (suc=8, lamba_ariza=12)",33.15,"LINESTRING (-87.68001151498756 41.75906047280363, -87.68001151498756 41.75906047280363)"
892664d8ea3ffff,"H3:892664d8ea3ffff (suc=42, lamba_ariza=13)",78.13,"LINESTRING (-87.68148883262886 41.9994021819493, -87.68148883262886 41.9994021819493)"
892664cc22bffff,"H3:892664cc22bffff (suc=44, lamba_ariza=27)",88.37,"LINESTRING (-87.64808507489099 41.769254810726224, -87.64808507489099 41.769254810726224)"
89266452c67ffff,"H3:89266452c67ffff (suc=28, lamba_ariza=2)",59.45,"LINESTRING (-87.74068619907185 41.75549556715729, -87.74068619907185 41.75549556715729)"
